"TekiyoKaishi_DT","TekiyoShuryo_DT","Del_FLG","Sakuseisha_ID","Sakusei_DT","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","KangoShubetsu_KBN","KangoShubetsu_CD","Meisho","Ryakusho"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","C561","一般病棟Ⅰ群入院基本料５　１０：１看護補助　看配","一Ⅰ入５補１０看"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","C562","一般病棟Ⅰ群入院基本料５　１０：１看護補助","一Ⅰ入５補１０"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","C563","一般病棟Ⅰ群入院基本料５　１０：１看護補助　減算","一Ⅰ入５補１０減"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","C581","一般病棟Ⅰ群入院基本料５　１５：１看護補助　看配","一Ⅰ入５補１５看"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","C582","一般病棟Ⅰ群入院基本料５　１５：１看護補助","一Ⅰ入５補１５"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","T461","専門病院Ⅰ群入院基本料４　１０：１看護補助　看配","専Ⅰ入４補１０看"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","T462","専門病院Ⅰ群入院基本料４　１０：１看護補助","専Ⅰ入４補１０"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","T463","専門病院Ⅰ群入院基本料４　１０：１看護補助　減算","専Ⅰ入４補１０減"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","T481","専門病院Ⅰ群入院基本料４　１５：１看護補助　看配","専Ⅰ入４補１５看"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","T482","専門病院Ⅰ群入院基本料４　１５：１看護補助","専Ⅰ入４補１５"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","T483","専門病院Ⅰ群入院基本料４　１５：１看護補助　減算","専Ⅰ入４補１５減"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","T501","専門病院Ⅰ群入院基本料５　看配","専Ⅰ入５看"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","T502","専門病院Ⅰ群入院基本料５","専Ⅰ入５"
"02/15/2023 00:00:00","09/12/2023 00:00:00","False","Batch","02/14/2023 19:18:07","BATCH","09/13/2023 00:00:00","PVS_XP_2059","P","T503","専門病院Ⅰ群入院基本料５　減算","専Ⅰ入５減"
