"corporation_cd","product_cd","start_date","end_date","locale_id","pre_product_cd","std_manufacuturing_cost","remark","delete_flag","create_user_cd","create_date","record_user_cd","record_date"
"1000","179139","04/01/2024 00:00:00","03/31/2025 00:00:00","ja","","1758.000",,"0","im_job","01/26/2024 19:34:12","im_job","01/24/2025 20:09:06"
"1000","179139","04/01/2025 00:00:00","03/31/2026 00:00:00","ja","","1757.000",,"0","im_job","01/24/2025 20:09:06","im_job","01/26/2026 20:13:19"
"1000","179139","04/01/2026 00:00:00","12/31/2999 00:00:00","ja","","1758.000",,"0","im_job","01/26/2026 20:13:19","im_job","04/01/2026 20:02:07"
"1000","179153","04/01/2020 00:00:00","03/31/2024 00:00:00","ja","","344.900",,"0","im_job","01/22/2020 20:12:07","im_job","01/26/2024 19:34:12"
"1000","179153","04/01/2024 00:00:00","03/31/2025 00:00:00","ja","","377.900",,"0","im_job","01/26/2024 19:34:12","im_job","01/24/2025 20:09:06"
"1000","179153","04/01/2025 00:00:00","03/31/2026 00:00:00","ja","","376.900",,"0","im_job","01/24/2025 20:09:06","im_job","01/26/2026 20:13:19"
"1000","179153","04/01/2026 00:00:00","12/31/2999 00:00:00","ja","","377.900",,"0","im_job","01/26/2026 20:13:19","im_job","04/01/2026 20:02:07"
"1000","179160","06/01/2020 00:00:00","03/31/2024 00:00:00","ja","","130.000",,"0","im_job","06/12/2020 20:01:21","im_job","01/26/2024 19:34:12"
"1000","179160","04/01/2024 00:00:00","03/31/2025 00:00:00","ja","","163.000",,"0","im_job","01/26/2024 19:34:12","im_job","01/24/2025 20:09:06"
"1000","179160","04/01/2025 00:00:00","03/31/2026 00:00:00","ja","","162.000",,"0","im_job","01/24/2025 20:09:06","im_job","01/26/2026 20:13:19"
"1000","179160","04/01/2026 00:00:00","12/31/2999 00:00:00","ja","","163.000",,"0","im_job","01/26/2026 20:13:19","im_job","04/01/2026 20:02:07"
