"EisaiOroshiSoshiki_CD","TekiyoKaishi_DT","TekiyoShuryo_DT","KeishoMotoRecord_KEY","KeishoSakiRecord_KEY","Del_FLG","Sakuseisha_ID","Sakusei_DT","SakuseiProgram_ID","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","OroshiSoshikiCode_ECONV","EisaiShishoka_ID","Data_Status"
"103","01/20/2014 00:00:00","12/31/9999 00:00:00","0","0","0","itg34676","01/20/2014 13:56:30","PVU-1010","itg45886","02/10/2026 14:33:24","PVU_XP_1302","10","3000055","0"
"104","01/20/2014 00:00:00","12/31/9999 00:00:00","0","0","0","itg34676","01/20/2014 13:56:30","PVU-1010","itg45886","02/10/2026 14:33:24","PVU_XP_1302","11","3000056","0"
"105","01/20/2014 00:00:00","12/31/9999 00:00:00","0","0","0","itg34676","01/20/2014 13:56:30","PVU-1010","itg45886","02/10/2026 14:33:24","PVU_XP_1302","12","640","0"
"106","01/20/2014 00:00:00","12/31/9999 00:00:00","0","0","0","itg34676","01/20/2014 13:56:30","PVU-1010","itg45886","02/10/2026 14:33:24","PVU_XP_1302","14","653","0"
"107","01/20/2014 00:00:00","12/31/9999 00:00:00","0","0","0","itg34676","01/20/2014 13:56:30","PVU-1010","itg45886","02/10/2026 14:33:24","PVU_XP_1302","15","576","0"
"108","01/20/2014 00:00:00","12/31/9999 00:00:00","0","0","0","itg34676","01/20/2014 13:56:30","PVU-1010","itg45886","02/10/2026 14:33:24","PVU_XP_1302","16","625","0"
"109","01/20/2014 00:00:00","12/31/9999 00:00:00","0","0","0","itg34676","01/20/2014 13:56:30","PVU-1010","itg45886","02/10/2026 14:33:24","PVU_XP_1302","17","556","0"
"110","01/20/2014 00:00:00","12/31/9999 00:00:00","0","0","0","itg34676","01/20/2014 13:56:30","PVU-1010","itg45886","02/10/2026 14:33:24","PVU_XP_1302","18","592","0"
"111","01/20/2014 00:00:00","12/31/9999 00:00:00","0","0","0","itg34676","01/20/2014 13:56:30","PVU-1010","itg45886","02/10/2026 14:33:24","PVU_XP_1302","19","605","0"
"112","01/20/2014 00:00:00","12/31/9999 00:00:00","0","0","0","itg34676","01/20/2014 13:56:30","PVU-1010","itg45886","02/10/2026 14:33:24","PVU_XP_1302","20","599","0"
"113","01/20/2014 00:00:00","12/31/9999 00:00:00","0","0","0","itg34676","01/20/2014 13:56:30","PVU-1010","itg45886","02/10/2026 14:33:24","PVU_XP_1302","21","602","0"
"114","01/20/2014 00:00:00","12/31/9999 00:00:00","0","0","0","itg34676","01/20/2014 13:56:30","PVU-1010","itg45886","02/10/2026 14:33:24","PVU_XP_1302","23","585","0"
"115","01/20/2014 00:00:00","12/31/9999 00:00:00","0","0","0","itg34676","01/20/2014 13:56:30","PVU-1010","itg45886","02/10/2026 14:33:24","PVU_XP_1302","25","589","0"
"116","01/20/2014 00:00:00","12/31/9999 00:00:00","0","0","0","itg34676","01/20/2014 13:56:30","PVU-1010","itg45886","02/10/2026 14:33:24","PVU_XP_1302","26","3000057","0"
"117","01/20/2014 00:00:00","12/31/9999 00:00:00","0","0","0","itg34676","01/20/2014 13:56:30","PVU-1010","itg45886","02/10/2026 14:33:24","PVU_XP_1302","27","3000058","0"
