"corporation_cd","policy_div","start_date","end_date","locale_id","policy_div_name","remark","delete_flag","create_user_cd","create_date","record_user_cd","record_date"
"1000","0604","04/01/2024 00:00:00","12/31/2999 00:00:00","ja","海ＯＥＭ","","0","ecl97223","10/16/2024 00:00:00","ecl97223","10/16/2024 00:00:00"
"1000","0605","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","医ＯＥＭ","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0605","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","医ＯＥＭ","","0","ecl07857","12/01/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0607","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","医家品　空き","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0607","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","医家品　空き","","0","ecl07857","12/01/2017 00:00:00","ecl97490","09/20/2023 00:00:00"
"1000","0805","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","輸出提携品","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","0805","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","輸出提携品","","0","ecl07857","12/01/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","1001","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","認Ｓ国内品","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","1001","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","ＨＳ品","","0","ecl07857","12/01/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","1005","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","認Ｓ　空き","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","1005","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","ＨＳ品空き","","0","ecl07857","12/01/2017 00:00:00","ecl97490","09/20/2023 00:00:00"
"1000","1007","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","認Ｓ　空き","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","1007","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","ＨＳ品空き","","0","ecl07857","12/01/2017 00:00:00","ecl97490","09/20/2023 00:00:00"
"1000","1008","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","認Ｓ　空き","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","1008","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","ＨＳ品空き","","0","ecl07857","12/01/2017 00:00:00","ecl97490","09/20/2023 00:00:00"
"1000","1009","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","認Ｓ　空き","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","1009","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","ＨＳ品空き","","0","ecl07857","12/01/2017 00:00:00","ecl97490","09/20/2023 00:00:00"
"1000","1050","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","認Ｓ値引品","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","1050","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","ＨＳ値引品","","0","ecl07857","12/01/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","1060","10/01/2020 00:00:00","12/31/2999 00:00:00","ja","ＣＸ品","","0","ecl91526","10/06/2020 00:00:00","ecl91526","10/06/2020 00:00:00"
"1000","1100","09/01/2018 00:00:00","12/31/2999 00:00:00","ja","日医工品","","0","eisai_init","09/10/2018 00:00:00","ecl05958","09/10/2018 00:00:00"
"1000","1109","09/01/2018 00:00:00","12/31/2999 00:00:00","ja","日医工品値引","","0","ecl05958","09/01/2018 00:00:00","ecl05958","09/01/2018 00:00:00"
"1000","1301","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","欧米輸出","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","1301","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","欧米輸出","","0","ecl07857","12/01/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","1309","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","新事業推進値引品","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","1309","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","新事業推進値引品","","0","ecl07857","12/01/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","8805","01/01/1970 00:00:00","03/31/2018 00:00:00","ja","その他","","0","eisai_init","11/06/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1000","8805","04/01/2018 00:00:00","12/31/2999 00:00:00","ja","その他","","0","ecl07857","12/01/2017 00:00:00","ecl07857","12/01/2017 00:00:00"
"1030","0210","01/01/1970 00:00:00","12/31/2999 00:00:00","ja","新製品",,"0","eisai_init","03/16/2018 00:00:00","eisai_init","03/16/2018 00:00:00"
"1030","0220","01/01/1970 00:00:00","12/31/2999 00:00:00","ja","戦略品",,"0","eisai_init","03/16/2018 00:00:00","eisai_init","03/16/2018 00:00:00"
