"TekiyoKaishi_DT","TekiyoShuryo_DT","Del_FLG","Sakuseisha_ID","Sakusei_DT","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","Layout_KBN","Record_ID","Shisetsu_CD","Shisetsu_CD_Yobi","Shusei_KBN","TankiTaizai_CD","AddDelete_KBN","Maintenance_DT","Tenso_DT"
"02/18/2013 00:00:00","03/04/2015 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","03/05/2015 00:00:00","PVS_XP_2056","135","00","3610476","","A","101","2","20130215","20130218"
"02/18/2013 00:00:00","03/04/2015 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","03/05/2015 00:00:00","PVS_XP_2056","135","00","3610476","","A","106","2","20130215","20130218"
"02/18/2013 00:00:00","03/04/2015 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","03/05/2015 00:00:00","PVS_XP_2056","135","00","3610476","","A","110","2","20130215","20130218"
"02/18/2013 00:00:00","03/04/2015 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","03/05/2015 00:00:00","PVS_XP_2056","135","00","3610476","","A","111","2","20130215","20130218"
"02/18/2013 00:00:00","03/04/2015 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","03/05/2015 00:00:00","PVS_XP_2056","135","00","3610476","","A","201","2","20130215","20130218"
"02/18/2013 00:00:00","03/04/2015 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","03/05/2015 00:00:00","PVS_XP_2056","135","00","3610476","","A","202","2","20130215","20130218"
"02/18/2013 00:00:00","03/04/2015 00:00:00","False","Batch","02/16/2013 06:05:45","BATCH","03/05/2015 00:00:00","PVS_XP_2056","135","00","3610476","","A","211","2","20130215","20130218"
"03/06/2015 00:00:00","12/31/9999 00:00:00","False","Batch","03/05/2015 19:06:27","BATCH","03/06/2015 00:00:00","PVS_XP_2056","135","00","3611227","","B","110","1","20150304","20150305"
"03/06/2015 00:00:00","12/31/9999 00:00:00","False","Batch","03/05/2015 19:06:27","BATCH","03/06/2015 00:00:00","PVS_XP_2056","135","00","3611794","","B","108","1","20150304","20150305"
"03/06/2015 00:00:00","12/31/9999 00:00:00","False","Batch","03/05/2015 19:06:27","BATCH","03/06/2015 00:00:00","PVS_XP_2056","135","00","3611794","","B","211","1","20150304","20150305"
"03/06/2015 00:00:00","12/31/9999 00:00:00","False","Batch","03/05/2015 19:06:27","BATCH","03/06/2015 00:00:00","PVS_XP_2056","135","00","3611794","","B","212","1","20150304","20150305"
"03/06/2015 00:00:00","12/31/9999 00:00:00","False","Batch","03/05/2015 19:06:27","BATCH","03/06/2015 00:00:00","PVS_XP_2056","135","00","3611872","","B","110","2","20150304","20150305"
