"Joi_DairitenTK_CD","DairitenTK_Kaiso_KBN","TekiyoKaishi_DT","TekiyoShuryo_DT","Del_FLG","Sakuseisha_ID","Sakusei_DT","SakuseiProgram_ID","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","DairitenTokeiName_KJKC","DairitenTokeiName_KJ","DairitenTokeiName_KJR","DairitenTokeiName_KJK","DairitenTokeiName_KN","DairitenTokeiName_KNR"
"23525","PVU_K0004","01/14/2021 00:00:00","12/31/9999 00:00:00","0","itg36186","01/14/2021 15:44:21","PVU_EX_1400","itg36186","01/14/2021 15:54:34","PVU_EX_1400","（株）井田両国堂　名古屋","（株）井田両国堂　名古屋","井田両国堂　名古屋","井田名古屋","ｲﾀﾞﾘﾖｳｺﾞｸﾄﾞｳ ﾅｺﾞﾔ","ｲﾀﾞ ﾅｺﾞﾔ"
"23890","PVU_K0004","10/01/2011 00:00:00","12/31/9999 00:00:00","0","IKOU-KUN","03/29/2018 20:43:37","IKOU-STP","IKOU-SAN","03/29/2018 20:43:37","IKOU-CYAN","東邦薬品（株）愛知営業部","東邦薬品（株）愛知営業部","東邦薬品愛知営業部","東邦愛知","ﾄｳﾎｳ ｱｲﾁ","ﾄｳﾎｳ ｱｲﾁ"
"23891","PVU_K0004","09/01/2011 00:00:00","12/31/9999 00:00:00","0","IKOU-KUN","03/29/2018 20:43:37","IKOU-STP","IKOU-SAN","03/29/2018 20:43:37","IKOU-CYAN","アルフレッサヘルスケア（株）中部支社","アルフレッサＨＣ中部支社","アルフレッサＨＣ中部","アルフ中部","ｱﾙﾌﾚﾂｻﾍﾙｽｹｱﾁﾕｳﾌﾞ","ｱﾙﾌﾁﾕｳﾌﾞ"
"24004","PVU_K0004","01/01/2000 00:00:00","12/31/9999 00:00:00","0","IKOU-KUN","03/29/2018 20:43:37","IKOU-STP","IKOU-SAN","03/29/2018 20:43:37","IKOU-CYAN","丹平中田（株）東海営業部","丹平中田（株）東海営業部","丹平中田　東海","丹平中田","ﾀﾝﾍﾟｲ ﾅｶﾀ KK","ﾀﾝﾍﾟｲ ﾅｶﾀ"
"24011","PVU_K0001","01/01/2000 00:00:00","12/31/9999 00:00:00","0","IKOU-KUN","03/29/2018 20:43:37","IKOU-STP","IKOU-SAN","03/29/2018 20:43:37","IKOU-CYAN","神宮薬品（株）","神宮薬品（株）","神宮薬品（株）","神宮薬品","ｼﾞﾝｸﾞｳﾔｸﾋﾝ","ｼﾞﾝｸﾞｳﾔｸﾋﾝ"
"24011","PVU_K0004","01/01/2000 00:00:00","12/31/9999 00:00:00","0","IKOU-KUN","03/29/2018 20:43:37","IKOU-STP","IKOU-SAN","03/29/2018 20:43:37","IKOU-CYAN","神宮薬品（株）","神宮薬品（株）","神宮薬品（株）","神宮薬品","ｼﾞﾝｸﾞｳﾔｸﾋﾝ","ｼﾞﾝｸﾞｳﾔｸﾋﾝ"
"24012","PVU_K0004","01/01/2000 00:00:00","12/31/9999 00:00:00","0","IKOU-KUN","03/29/2018 20:43:37","IKOU-STP","IKOU-SAN","03/29/2018 20:43:37","IKOU-CYAN","ＡＺ東海","ＡＺ東海","東海","東海","ｱｽﾞｳｴﾙﾄｳｶｲ","ﾄｳｶｲ"
"25007","PVU_K0003","10/01/2016 00:00:00","12/31/9999 00:00:00","0","IKOU-KUN","03/29/2018 20:43:37","IKOU-STP","IKOU-SAN","03/29/2018 20:43:37","IKOU-CYAN","（株）大正堂","（株）大正堂","大正堂","大正堂","ﾀｲｼﾖｳﾄﾞｳ","ﾀｲｼﾖｳﾄﾞｳ"
"26014","PVU_K0004","01/01/2000 00:00:00","12/31/9999 00:00:00","0","IKOU-KUN","03/29/2018 20:43:37","IKOU-STP","IKOU-SAN","03/29/2018 20:43:37","IKOU-CYAN","（株）ケーエスケー京滋","（株）ケーエスケー京滋","ケーエスケー京滋","ＫＳＫ京滋","ｹ-ｴｽｹ- ｹｲｼﾞ","ｹ-ｴｽｹ-ｹｲｼﾞ"
"26023","PVU_K0004","01/01/2000 00:00:00","12/31/9999 00:00:00","0","IKOU-KUN","03/29/2018 20:43:37","IKOU-STP","IKOU-SAN","03/29/2018 20:43:37","IKOU-CYAN","京都支社","京都支社","京都支社","京都","ｷﾖｳﾄｼｼﾔ","ｷﾖｳﾄｼｼﾔ"
"27001","PVU_K0004","01/01/2000 00:00:00","12/31/9999 00:00:00","0","IKOU-KUN","03/29/2018 20:43:37","IKOU-STP","IKOU-SAN","03/29/2018 20:43:37","IKOU-CYAN","丹平中田（株）西日本営業部","丹平中田（株）西日本営業部","丹平中田　西日本","丹平中田","ﾀﾝﾍﾟｲ ﾅｶﾀ KK","ﾀﾝﾍﾟｲ ﾅｶﾀ"
"27004","PVU_K0004","01/01/2000 00:00:00","12/31/9999 00:00:00","0","IKOU-KUN","03/29/2018 20:43:37","IKOU-STP","IKOU-SAN","03/29/2018 20:43:37","IKOU-CYAN","ＡＺ関西","ＡＺ関西","関西","関西","ｱｽﾞｳｴﾙｶﾝｻｲ","ｶﾝｻｲ"
"27014","PVU_K0004","01/01/2000 00:00:00","12/31/9999 00:00:00","0","IKOU-KUN","03/29/2018 20:43:37","IKOU-STP","IKOU-SAN","03/29/2018 20:43:37","IKOU-CYAN","Ｓ・近畿ブロック","Ｓ・近畿ブロック","近畿ブ","近畿","ｽｽﾞｹﾝｷﾝｷﾌﾞﾛﾂｸ","ｷﾝｷﾌﾞ"
"27041","PVU_K0003","10/01/2025 00:00:00","12/31/9999 00:00:00","0","itg46273","09/12/2025 13:26:42","PVU_EX_1400","itg46273","09/12/2025 13:26:42","PVU_EX_1400","（株）ケーエスケー","ケーエスケー","ケーエスケー","ＫＳＫ","ｹ-ｴｽｹ-","ｹ-ｴｽｹ-"
"27042","PVU_K0001","01/01/2000 00:00:00","12/31/9999 00:00:00","0","IKOU-KUN","03/29/2018 20:43:37","IKOU-STP","IKOU-SAN","03/29/2018 20:43:37","IKOU-CYAN","（株）ケーエスケー","（株）ケーエスケー","ケーエスケー","ＫＳＫ大阪","ｹ-ｴｽｹ-","ｹ-ｴｽｹ-ｵｵｻｶ"
